Which if the following is/are the levels of implementation of data structure,Abstract level,Application level,Implementation level,All of the above,D,6
A binary search tree whose left subtree and right subtree differ in hight by at most 1 unit is called ……,AVL tree,Red-black tree,Lemma tree,None of the above,A,7
_______ level is where the model becomes compatible executable code,Abstract level,Application level,Implementation level,All of the above,C,7
Stack is also called as,Last in first out,First in last out,Last in last out,First in first out,A,10
Which of the following is true about the characteristics of abstract data types? i) It exports a type. ii) It exports a set of operations,True  False,False  True,True  True,False  False,C,8
________is not the component of data structure.,Operations,Storage Structures,Algorithms,None of above,D,7
Which of the following is not the part of ADT description?,Data,Operations,Both of the above,None of the above,D,9
Inserting an item into the stack when stack is not full is called ___a___ Operation and deletion of item form the stack when stack is not empty is called __b__operation.,a.push b.pop,a.pop b.push,a.insert b.delete,a.delete b.insert,A,10
_______ Is a pile in which items are added at one end and removed from the other.,Stack,Queue,List,None of the above,B,6
 ________is very useful in situation when data have to stored and then retrieved in reverse order.,Stack,Queue,List,Link list,A,7
Which data structure allows deleting data elements from and inserting at rear?,Stack,Queue,Dequeue,Binary search tree,B,9
Which of the following data structure can't store the non-homogenous data elements,Arrays,Records,Pointers,Stacks,A,8
A_______ is a data structure that organizes data similar to a line in the supermarket where the first one in line is the first one out.,Queue linked list,Stacks linked list,Both of them,Neither of them,A,7
Which of the following is non-liner data structure?,Stacks,List,Strings,Trees,D,6
Herder node is used as sentinel in ___,Graphs,Stacks,Binary tree,Queues,C,9
Which data structure is used in breadth first search of a graph to hold nodes?,Stack,Queue,Tree,Array,B,10
Identify the data structure which allows deletions at both ends of the list but insertion at only one end.,Input restricted dequeue,Output restricted dequeue,Priority queues,Stack,A,8
Which of the following data structure is non linear type?,Strings,Lists,Stacks,Graph,D,6
Which of the following data structure is linear type?,Graph,Trees,Binary tree,Stack,D,6
To represent hierarchical relationship between elements. Which data structure is suitable?,Deque,Priority,Tree,Graph,C,7
A directed graph is  _______if there is a path from each vertex to every other vertex in the digraph.,Weakly connected,Strongly Connected,Tightly Connected,Linearly Connected,B,9
In the _______traversal we process all of a vertex’s descendants before we move to an adjacent vertex.,Depth First,Breadth First,With First,Depth Limited,A,10
State True of False: i) Network is a graph that has weights or costs associated with it. ii) An undirected graph which contains no cycles is called a forest. iii) A graph is said to be complete if there is no edge between every pair of vertices.,i)True ii)False iii)True,i)True ii)True iii)False,i)True ii)True iii)True,i)False ii)True iii)True,B,10
What is a pointer?,A variable that stores an address of another variable, A variable that stores a value,A constant,A data type,A,8
Which operator is used to get the value at the address stored in a pointer variable?,&,*,%,@,B,7
Which operator is used to get the address of a variable?,&,*,%,@,A,6
What does the following code do? `int *p;`,Declares a pointer to an integer,Declares an integer,Declares a pointer to a float,Declares a pointer to a pointer,A,9
If `p `is a pointer to an integer then what does `p++` do?,Moves the pointer to the next integer,Increments the value pointed to by p,Decrements the pointer,Multiplies the pointer by 2,A,10
What is a linked list?,A collection of variables,A sequence of nodes where each node points to the next node,A special array,A type of pointer,B,8
Which of the following is not a type of linked list?,Singly linked list,Doubly linked list,Circular linked list,Parallel linked list,D,6
What does the head of a linked list contain?,The first node,The last node,A null value,An integer,A,6
In a singly linked list each node contains:,Only data,Only a pointer,Data and a pointer to the next node,Data and a pointer to the previous node,C,7
To insert a new node at the beginning of a linked list we need to:,Change the next pointer of the new node to the current head,Change the head to the new node,Both A and B,Neither A nor B,C,9
A stack is based on which principle?,FIFO (First In First Out), LIFO (Last In First Out),FILO (First In Last Out),None of the above,B,10
Which operation is used to add an element to a stack?,Insert,Append,Push,Add,C,6
Which operation is used to remove the top element from a stack?,Pop,Delete,Remove,Extract,A,8
Which operation returns the top element without removing it from the stack?,Peek,View,Top,Retrieve,A,7
In a stack if the initial state of the stack is empty what is the state after the following operations? push(1) -> push(2) -> pop() -> push(3),1,2 3,1 3,3 2,C,6
What is a binary tree?,A tree in which every node has at most two children,A tree in which every node has exactly two children,A tree with only one child,None of the above,A,9
What is a full binary tree?,A binary tree in which all leaves are at the same level,A binary tree in which every node has 0 or 2 children, A binary tree with only one child per node,None of the above,B,10
In a binary tree the number of leaf nodes is always:,One less than the number of internal nodes,Equal to the number of internal nodes,One more than the number of internal nodes,Independent of the number of internal nodes,C,8
What is the inorder traversal of a binary tree?,Visiting the left subtree then the root and then the right subtree,Visiting the root then the left subtree and then the right subtree,Visiting the root the right subtree and then the left subtree,None of the above,A,6
In a binary search tree the left child of a node contains a value that is:,Greater than the node’s value,Less than the node’s value,Equal to the node’s value,Unrelated to the node’s value,B,6
What is a graph?,A collection of nodes connected by edges,A type of linked list,A tree with only one child,A data structure with no nodes,A,7
Which of the following is not a type of graph?,Directed graph,Undirected graph,Spanning graph,Weighted graph,C,9
In an undirected graph the degree of a node is:,The number of edges connected to it,The number of nodes connected to it,The number of edges plus one,The number of nodes minus one,A,10
A path in a graph is:,A sequence of edges connecting two nodes,A sequence of nodes with no edges,A single node,A graph with no nodes,A,6
What is a cycle in a graph?,A path that starts and ends at the same node,A path that starts and ends at different nodes,A sequence of edges,A graph with only one node,A,8
What is the purpose of Dijkstra's algorithm?,To sort the nodes of a graph,To traverse all nodes of a graph,To find the shortest path between two nodes,To find the longest path between two nodes,C,10
The number of comparisons done by sequential search is  _______,(N/2)+1,(N+1)/2,(N-1)/2,(N+2)/2,B,9
In ________search start at the beginning of the list and check every element in the list.,Linear search,Binary search,Hash Search,Binary Tree search,A,6
State True or False. i) Binary search is used for searching in a sorted array. ii) The time complexity of binary search is O(logn).,i)True ii)False,i)False ii)True,i)False ii)False,i)True ii)True,D,8
Which of the following is not the internal sort?,Insertion Sort,Bubble Sort,Merge Sort,Heap Sort,C,7
State True or False. i) An undirected graph which contains no cycles is called forest. ii) A graph is said to be complete if there is an edge between every pair of vertices.,i)True ii)True,i)False ii)True,i)False ii)False,i)True ii)False,A,10
A graph is said to be ________if the vertices can be split into two sets V1 and V2 such there are no edges between two vertices of V1 or two vertices of V2.,Partite,Bipartite,Rooted,Bisects,B,8
In a queue the initial values of front pointer f rare pointer r should be_____ and______respectively.,0 and 1,0 and -1,-1 and 0,1 and 0,B,10
In a circular queue the value of r will be?,r=r+1,r=(r+1)% [QUEUE_SIZE – 1],r=(r+1)% QUEUE_SIZE,r=(r-1)% QUEUE_SIZE,C,9
Which of the following statement is true? i) Using singly linked lists and circular list it is not possible to traverse the list backwards. ii) To find the predecessor it is required to traverse the list from the first node in case of singly linked list.,i-only,ii-only,Both i and ii,None of both,C,8
The advantage of_______is that they solve the problem if sequential storage representation. But disadvantage in that is they are sequential lists.,Lists,Linked Lists,Trees,Queues,B,10
What will be the value of top if there is a size of stack STACK_SIZE is 5,5,6,4,None,C,6
 ________is not the operation that can be performed on queue.,Insertion,Deletion,Retrieval,Traversal,D,7
There is an extra element at the head of the list called a _______,Antinel,Sentinel,List header,List head,B,10
A graph is a collection of nodes called ______ And line segments called arcs or ______that connect pair of nodes.,vertices  edges,edges-vertices,vertices- paths,graph node- edges,A,6
A ______ is a graph that has weights of costs associated with its edges.,Network,Weighted graph,Both A and B,None A and B,C,10
In general the binary search method needs no more than  ________comparisons.,[log2n]-1,[logn]+1,[log2n],[log2n]+1,D,7
Which of the following is not the type of queue?,Ordinary queue,Single ended queue,Circular queue,Priority queue,B,9
The property of binary tree is,The first subset is called left subtree,The second subtree is called right subtree,The root cannot contain NULL,The right subtree can be empty,D,7
State true or false.i) The degree of root node is always zero. ii) Nodes that are not root and not leaf are called as internal nodes.,True  True,True- False,False- True,False- False,C,8
Any node is the path from the root to the node is called,Successor node,Ancestor node,Internal node,None of the above,B,10
State true of false. i) A node is a parent if it has successor nodes. ii) A node is child node if out degree is one.,True  True,True- False,False- True,False- False,B,8
______ is not an operation performed on linear list a) Insertion b) Deletion c) Retrieval d) Traversal,only a- b and c,only a and b,All of the above,None of the above,D,9
Which is/are the application(s) of stack,Function calls,Large number Arithmetic,Evaluation of arithmetic expressions,All of the above,D,7
A ________is an acyclic digraph which has only one node with indegree 0 and other nodes have indegree 1.,Directed Tree,Undirected Tree,Dis-joint Tree,Direction Oriented Tree,A,8
__________ Is a directed tree in which outdegree of each node is less than or equal to two.,Unary Tree,Binary Tree,Trinary Tree,Both B and C,B,9
